,Bloomberg US Agg Sovereign Avg OAS,Bloomberg US Corporate High Yield Average OAS
,LUAS Index,LF98OAS Index
5/17/2013,1.31,4.19
5/20/2013,1.29,4.18
5/21/2013,1.33,4.18
5/22/2013,1.3,4.11
5/23/2013,1.34,4.27
5/24/2013,1.39,4.29
5/28/2013,1.39,4.21
5/29/2013,1.47,4.39
5/30/2013,1.49,4.37
5/31/2013,1.48,4.4
6/3/2013,1.52,4.54
6/4/2013,1.52,4.58
6/5/2013,1.54,4.81
6/6/2013,1.6,4.87
6/7/2013,1.56,4.66
6/10/2013,1.6,4.64
6/11/2013,1.7,4.85
6/12/2013,1.7,4.79
6/13/2013,1.68,4.88
6/14/2013,1.68,4.84
6/17/2013,1.59,4.76
6/18/2013,1.64,4.74
6/19/2013,1.64,4.62
6/20/2013,1.72,4.89
6/21/2013,1.84,4.86
6/24/2013,2.14,5.09
6/25/2013,2.04,5.1
6/26/2013,1.97,5.06
6/27/2013,1.91,5
6/28/2013,1.87,4.92
7/1/2013,1.84,4.9
7/2/2013,1.83,4.89
7/3/2013,1.78,4.86
7/5/2013,1.71,4.76
7/8/2013,1.84,4.86
7/9/2013,1.82,4.8
7/10/2013,1.83,4.73
7/11/2013,1.88,4.66
7/12/2013,1.81,4.56
7/15/2013,1.76,4.54
7/16/2013,1.72,4.49
7/17/2013,1.69,4.45
7/18/2013,1.59,4.32
7/19/2013,1.62,4.32
7/22/2013,1.59,4.3
7/23/2013,1.58,4.27
7/24/2013,1.59,4.32
7/25/2013,1.65,4.43
7/26/2013,1.7,4.49
7/29/2013,1.72,4.47
7/30/2013,1.74,4.44
7/31/2013,1.8,4.47
8/1/2013,1.72,4.38
8/2/2013,1.83,4.51
8/5/2013,1.78,4.49
8/6/2013,1.79,4.52
8/7/2013,1.84,4.57
8/8/2013,1.84,4.55
8/9/2013,1.83,4.56
8/12/2013,1.8,4.55
8/13/2013,1.74,4.47
8/14/2013,1.76,4.48
8/15/2013,1.78,4.51
8/16/2013,1.76,4.46
8/19/2013,1.81,4.48
8/20/2013,1.88,4.57
8/21/2013,1.93,4.53
8/22/2013,1.93,4.49
8/23/2013,1.94,4.52
8/26/2013,1.93,4.52
8/27/2013,2,4.6
8/28/2013,1.98,4.54
8/29/2013,2.02,4.54
8/30/2013,2.02,4.52
9/3/2013,2,4.42
9/4/2013,2,4.39
9/5/2013,1.95,4.34
9/6/2013,1.93,4.42
9/9/2013,1.91,4.45
9/10/2013,1.9,4.39
9/11/2013,1.91,4.42
9/12/2013,1.88,4.39
9/13/2013,1.87,4.38
9/16/2013,1.81,4.35
9/17/2013,1.79,4.39
9/18/2013,1.81,4.48
9/19/2013,1.66,4.32
9/20/2013,1.67,4.36
9/23/2013,1.68,4.4
9/24/2013,1.74,4.45
9/25/2013,1.76,4.49
9/26/2013,1.77,4.49
9/27/2013,1.82,4.55
9/30/2013,1.84,4.61
10/1/2013,1.82,4.56
10/2/2013,1.83,4.57
10/3/2013,1.84,4.54
10/4/2013,1.8,4.49
10/7/2013,1.79,4.5
10/8/2013,1.77,4.48
10/9/2013,1.75,4.47
10/10/2013,1.74,4.41
10/11/2013,1.72,4.42
10/15/2013,1.66,4.36
10/16/2013,1.67,4.37
10/17/2013,1.69,4.36
10/18/2013,1.66,4.29
10/21/2013,1.65,4.23
10/22/2013,1.69,4.27
10/23/2013,1.67,4.27
10/24/2013,1.65,4.22
10/25/2013,1.68,4.25
10/28/2013,1.68,4.26
10/29/2013,1.7,4.27
10/30/2013,1.68,4.22
10/31/2013,1.69,4.16
11/1/2013,1.68,4.11
11/4/2013,1.73,4.14
11/5/2013,1.73,4.13
11/6/2013,1.77,4.16
11/7/2013,1.79,4.14
11/8/2013,1.75,4.18
11/12/2013,1.81,4.14
11/13/2013,1.84,4.21
11/14/2013,1.83,4.22
11/15/2013,1.8,4.2
11/18/2013,1.78,4.16
