,S&P 500 INDEX,Russell 1000 Value Index,Russell 2000 Total Return Index,Russell 2000 Index,Bloomberg US Corporate Total Return Value Unhedged USD,Bloomberg US Corporate High Yield Total Return Index Value Unhedged USD,LBMA Gold Price PM USD
,SPX Index,RLV Index,RU20INTR Index,RTY Index,LUACTRUU Index,LF98TRUU Index,GOLDLNPM Index
7/28/2008,1234.37,652.8,2999.17,696.112,1645.18,878.29,923.5
7/29/2008,1263.2,671.31,3079.08,714.551,1643.45,876.63,916.75
7/30/2008,1284.26,682.78,3097.98,718.864,1642.56,876.97,897.5
7/31/2008,1267.38,674.42,3079.58,714.524,1647.79,876.91,918
8/1/2008,1260.31,672.47,3086.81,716.158,1651.24,872.64,912.5
8/4/2008,1249.02,666.09,3035.05,704.141,1650.4,871.59,905.75
8/5/2008,1284.88,686.19,3107.94,721.041,1648.12,872.14,882
8/6/2008,1289.19,686.23,3129.03,725.896,1644.26,873.44,879.5
8/7/2008,1266.07,670.62,3075.43,713.414,1656.91,874.64,871.5
8/8/2008,1296.32,689.04,3165.51,734.298,1655.4,873.86,852.5
8/11/2008,1305.32,696.4,3237.84,751.06,1650.78,875.41,852.5
8/12/2008,1289.59,683.52,3211.53,744.937,1658.64,878.17,817.75
8/13/2008,1285.83,679.01,3224.19,747.69,1654.29,878.14,818.5
8/14/2008,1292.93,684.21,3253.14,754.377,1659.09,878.32,818
8/15/2008,1298.2,688.54,3248.82,753.369,1660.1,880,786.5
8/18/2008,1278.6,676.43,3199.75,741.969,1664,880.74,796.25
8/19/2008,1266.69,668.42,3148.68,730.057,1658.52,878.26,788.75
8/20/2008,1274.54,673.02,3155.44,731.597,1661.56,877.82,815.75
8/21/2008,1277.72,674.25,3128.17,725.249,1656.85,876.34,833.5
8/22/2008,1292.2,682.49,3181.55,737.605,1654.7,876.25,824
8/25/2008,1266.84,668.06,3107.96,720.542,1662.08,877.43,
8/26/2008,1271.51,671.57,3120.8,723.508,1662.02,877.79,827
8/27/2008,1281.66,677.83,3162.11,732.947,1663.43,878.13,827
8/28/2008,1300.68,691.27,3226.62,747.793,1659.94,879.33,838.25
8/29/2008,1282.83,684.07,3190.88,739.497,1659.64,879.98,833
9/1/2008,,,,,,,822.25
9/2/2008,1277.58,684.26,3186.63,738.509,1666.04,881,798.5
9/3/2008,1274.98,686.96,3201.59,741.907,1670.66,879.8,803.5
9/4/2008,1236.83,665.67,3101.15,718.62,1674.38,879.7,805.75
9/5/2008,1242.31,671.13,3102.29,718.851,1669.5,878.77,808.5
9/8/2008,1267.79,689.88,3162.88,732.861,1672.94,882.25,808
9/9/2008,1224.51,662.68,3052.57,707.294,1676.55,882.01,781.75
9/10/2008,1232.04,664.98,3095.36,717.161,1668.82,880.15,775.75
9/11/2008,1249.05,671.79,3104,718.996,1665.11,879.44,740.75
9/12/2008,1251.7,672.97,3109.59,720.263,1651.8,879.65,750.25
9/15/2008,1192.7,634.85,2977.94,689.758,1638.04,871.4,775
