Date,IG_Spread,HY_Spread,HY_Change,IG_Change,HY_IG_Spread
2023-07-05,1.12,3.89,0.020000000000000018,-0.029999999999999805,2.77
2023-07-06,1.14,3.98,0.08999999999999986,0.019999999999999796,2.84
2023-07-07,1.18,3.97,-0.009999999999999787,0.040000000000000036,2.79
2023-07-10,1.21,4.01,0.03999999999999959,0.030000000000000027,2.8
2023-07-11,1.2,3.93,-0.07999999999999963,-0.010000000000000009,2.7300000000000004
2023-07-12,1.22,3.82,-0.11000000000000032,0.020000000000000018,2.5999999999999996
2023-07-13,1.22,3.85,0.03000000000000025,0.0,2.63
2023-07-14,1.17,3.79,-0.06000000000000005,-0.050000000000000044,2.62
2023-07-17,1.18,3.83,0.040000000000000036,0.010000000000000009,2.6500000000000004
2023-07-18,1.16,3.79,-0.040000000000000036,-0.020000000000000018,2.63
2023-07-19,1.19,3.81,0.020000000000000018,0.030000000000000027,2.62
2023-07-20,1.18,3.79,-0.020000000000000018,-0.010000000000000009,2.6100000000000003
2023-07-21,1.19,3.76,-0.03000000000000025,0.010000000000000009,2.57
2023-07-24,1.17,3.73,-0.029999999999999805,-0.020000000000000018,2.56
2023-07-25,1.16,3.72,-0.009999999999999787,-0.010000000000000009,2.5600000000000005
2023-07-26,1.17,3.76,0.03999999999999959,0.010000000000000009,2.59
2023-07-27,1.1,3.7,-0.05999999999999961,-0.06999999999999984,2.6
2023-07-28,1.13,3.71,0.009999999999999787,0.029999999999999805,2.58
2023-07-31,1.1,3.67,-0.040000000000000036,-0.029999999999999805,2.57
2023-08-01,1.1,3.73,0.06000000000000005,0.0,2.63
2023-08-02,1.13,3.85,0.1200000000000001,0.029999999999999805,2.72
2023-08-03,1.13,3.88,0.029999999999999805,0.0,2.75
2023-08-04,1.17,3.9,0.020000000000000018,0.040000000000000036,2.73
2023-08-07,1.15,3.88,-0.020000000000000018,-0.020000000000000018,2.73
2023-08-08,1.16,3.9,0.020000000000000018,0.010000000000000009,2.74
2023-08-09,1.16,3.85,-0.04999999999999982,0.0,2.6900000000000004
2023-08-10,1.11,3.75,-0.10000000000000009,-0.04999999999999982,2.6399999999999997
2023-08-11,1.09,3.73,-0.020000000000000018,-0.020000000000000018,2.6399999999999997
2023-08-14,1.12,3.76,0.029999999999999805,0.030000000000000027,2.6399999999999997
2023-08-15,1.16,3.75,-0.009999999999999787,0.039999999999999813,2.59
2023-08-16,1.15,3.74,-0.009999999999999787,-0.010000000000000009,2.5900000000000003
2023-08-17,1.19,3.87,0.1299999999999999,0.040000000000000036,2.68
