Date,CPI_change_lag1,CPI_yoy_lag1,CPI_change_3m_lag1,Inflation_Regime_lag1,UMich_Sentiment_lag1,CB_Confidence_lag1
2011-12-31,0.41900000000001114,0.03451432214581729,0.3543333333333389,1.0,63.7,55.2
2012-01-31,0.054000000000002046,0.03062066838419386,0.20866666666666825,1.0,69.9,64.8
2012-02-29,0.6189999999999998,0.030087663379855023,0.3640000000000043,1.0,75.0,61.5
2012-03-31,0.48699999999999477,0.028981784423473878,0.38666666666666555,0.0,75.3,71.6
2012-04-30,0.4779999999999802,0.025828752813320977,0.5279999999999916,0.0,76.2,69.5
2012-05-31,0.3800000000000239,0.022731633741348567,0.448333333333333,0.0,76.4,68.7
2012-06-30,-0.47400000000001796,0.01737942937466075,0.12799999999999537,0.0,79.3,64.4
2012-07-31,-0.18899999999999295,0.01653870448297634,-0.09433333333332901,0.0,73.2,62.7
2012-08-31,0.0660000000000025,0.014175114798464783,-0.1990000000000028,0.0,72.3,65.4
2012-09-30,1.328000000000003,0.016859349154821235,0.40166666666667084,0.0,74.3,61.3
2012-10-31,1.09699999999998,0.019497168982819613,0.8303333333333285,0.0,78.3,68.4
2012-11-30,0.6230000000000189,0.021556780595369363,1.0160000000000007,0.0,82.6,73.1
2012-12-31,-0.38900000000001,0.017960197033926262,0.44366666666666293,0.0,82.7,71.5
2013-01-31,-0.027999999999991587,0.017595049796895523,0.06866666666667243,0.0,72.9,66.7
2013-02-28,0.4579999999999984,0.01684061762098299,0.013666666666665606,0.0,73.8,58.4
2013-03-31,1.2580000000000098,0.020181404902574807,0.5626666666666722,0.0,77.6,68.0
2013-04-30,-0.6550000000000011,0.015187472411246183,0.353666666666669,0.0,78.6,61.9
2013-05-31,-0.48500000000001364,0.01138808047576867,0.039333333333331666,0.0,76.4,69.0
2013-06-30,0.09600000000000364,0.013903888279197085,-0.3480000000000037,0.0,84.5,74.3
2013-07-31,0.5519999999999925,0.017157935271568725,0.054333333333327495,0.0,84.1,82.1
2013-08-31,0.4550000000000125,0.01885471805415806,0.36766666666666953,0.0,85.1,81.0
2013-09-30,0.5559999999999832,0.01538809488600279,0.520999999999996,0.0,82.1,81.8
2013-10-31,0.08800000000002228,0.010947341081747997,0.36633333333333934,0.0,77.5,80.2
2013-11-30,0.125,0.00876799143491147,0.25633333333333513,0.0,73.2,72.4
2013-12-31,0.4309999999999832,0.012328701961954458,0.21466666666666848,0.0,75.1,72.0
2014-01-31,0.6189999999999998,0.015128383667573297,0.391666666666661,0.0,82.5,77.5
2014-02-28,0.5690000000000168,0.01557758795574915,0.5396666666666666,0.0,81.2,79.4
2014-03-31,0.25899999999998613,0.011204746347724948,0.4823333333333342,0.0,81.6,78.3
2014-04-30,0.48099999999999454,0.016126949139408042,0.4363333333333325,0.0,80.0,83.9
2014-05-31,0.4399999999999977,0.02015125303606169,0.39333333333332615,0.0,84.1,81.7
2014-06-30,0.45000000000001705,0.02166947687079812,0.4570000000000031,0.0,81.9,82.2
2014-07-31,0.3129999999999882,0.020589816945944195,0.40100000000000097,0.0,82.5,86.4
2014-08-31,0.2669999999999959,0.019742378703305974,0.3433333333333337,0.0,81.8,90.3
2014-09-30,-0.03799999999998249,0.017150983482969062,0.1806666666666672,0.0,82.5,93.4
2014-10-31,0.016999999999995907,0.016840509711232077,0.08200000000000311,0.0,84.6,89.0
2014-11-30,-0.046999999999997044,0.016095417021513292,-0.02266666666666121,0.0,86.9,94.1
2014-12-31,-0.44700000000000273,0.01231524989320798,-0.15900000000000128,0.0,88.8,91.0
2015-01-31,-0.7309999999999945,0.006531213919623191,-0.40833333333333144,0.0,93.6,93.1
2015-02-28,-1.5049999999999955,-0.002299309782054282,-0.8943333333333309,0.0,98.1,103.8
2015-03-31,0.5949999999999989,-0.0008703146293520536,-0.546999999999997,0.0,95.4,98.8
2015-04-30,0.6339999999999861,-0.00022031284423873476,-0.09200000000000348,0.0,93.0,101.4
2015-05-31,0.24600000000000932,-0.0010403098939391064,0.49166666666666475,0.0,95.9,94.3
2015-06-30,0.7789999999999964,0.0003503321824429584,0.5529999999999973,0.0,90.7,94.6
2015-07-31,0.6560000000000059,0.001795718097550525,0.5603333333333372,0.0,96.1,99.8
2015-08-31,0.37699999999998113,0.0022568611104094582,0.6039999999999944,0.0,93.1,91.0
2015-09-30,-0.0010000000000047748,0.002413037985344868,0.3439999999999941,0.0,91.9,101.3
2015-10-31,-0.5349999999999966,8.842961634170088e-05,-0.05300000000000674,0.0,87.2,102.6
